ID,gender,frame,t(s),x(m),y(m),markerID
3,1,716,28.64,1.536,1.4141,4
3,1,717,28.68,1.5858,1.4187,4
3,1,718,28.72,1.6375,1.427,4
3,1,719,28.76,1.6911,1.4352,4
3,1,720,28.8,1.7468,1.4395,4
3,1,721,28.84,1.8042,1.4442,4
3,1,722,28.88,1.864,1.4475,4
3,1,723,28.92,1.923,1.4464,4
3,1,724,28.96,1.9789,1.4446,4
3,1,725,29.0,2.0359,1.4357,4
3,1,726,29.04,2.0932,1.4255,4
3,1,727,29.08,2.1526,1.414,4
3,1,728,29.12,2.2103,1.4079,4
3,1,729,29.16,2.2684,1.4052,4
3,1,730,29.2,2.3224,1.4158,4
3,1,731,29.24,2.3791,1.4177,4
3,1,732,29.28,2.4346,1.4267,4
3,1,733,29.32,2.4904,1.4346,4
3,1,734,29.36,2.5441,1.439,4
3,1,735,29.4,2.5979,1.4424,4
3,1,736,29.44,2.6487,1.4439,4
3,1,737,29.48,2.702,1.4376,4
3,1,738,29.52,2.755,1.4289,4
3,1,739,29.56,2.808,1.4189,4
3,1,740,29.6,2.8615,1.4093,4
3,1,741,29.64,2.9183,1.4033,4
3,1,742,29.68,2.9792,1.3944,4
3,1,743,29.72,3.0361,1.3991,4
3,1,744,29.76,3.0934,1.4067,4
3,1,745,29.8,3.1515,1.4083,4
3,1,746,29.84,3.2132,1.3929,4
3,1,747,29.88,3.2636,1.4002,4
3,1,748,29.92,3.3147,1.4013,4
3,1,749,29.96,3.3632,1.3965,4
3,1,750,30.0,3.4089,1.3904,4
3,1,751,30.04,3.4544,1.3739,4
3,1,752,30.08,3.4993,1.3599,4
4,1,989,39.56,-0.301,1.4399,4
4,1,990,39.6,-0.2632,1.4338,4
4,1,991,39.64,-0.2209,1.4293,4
4,1,992,39.68,-0.1794,1.429,4
4,1,993,39.72,-0.1322,1.4273,4
4,1,994,39.76,-0.0864,1.4336,4
4,1,995,39.8,-0.044,1.4501,4
4,1,996,39.84,-0.0005,1.4572,4
4,1,997,39.88,0.0431,1.4602,4
4,1,998,39.92,0.0862,1.461,4
4,1,999,39.96,0.1277,1.4624,4
4,1,1000,40.0,0.1694,1.4615,4
4,1,1001,40.04,0.2121,1.4591,4
4,1,1002,40.08,0.2565,1.4533,4
4,1,1003,40.12,0.3002,1.4457,4
4,1,1004,40.16,0.3481,1.4393,4
4,1,1005,40.2,0.3963,1.4343,4
4,1,1006,40.24,0.447,1.4287,4
4,1,1007,40.28,0.4971,1.4338,4
4,1,1008,40.32,0.549,1.4445,4
4,1,1009,40.36,0.6002,1.455,4
4,1,1010,40.4,0.654,1.4604,4
4,1,1011,40.44,0.7078,1.4659,4
4,1,1012,40.48,0.7607,1.4696,4
4,1,1013,40.52,0.8154,1.4645,4
4,1,1014,40.56,0.8684,1.4625,4
4,1,1015,40.6,0.9217,1.4538,4
4,1,1016,40.64,0.9761,1.4423,4
4,1,1017,40.68,1.0304,1.4306,4
4,1,1018,40.72,1.0857,1.4229,4
4,1,1019,40.76,1.1399,1.4202,4
4,1,1020,40.8,1.1937,1.4242,4
4,1,1021,40.84,1.2472,1.4309,4
4,1,1022,40.88,1.299,1.4378,4
4,1,1023,40.92,1.3511,1.446,4
4,1,1024,40.96,1.4029,1.449,4
4,1,1025,41.0,1.4528,1.4537,4
4,1,1026,41.04,1.5022,1.4544,4
4,1,1027,41.08,1.5511,1.4534,4
4,1,1028,41.12,1.6021,1.4458,4
4,1,1029,41.16,1.6523,1.4399,4
4,1,1030,41.2,1.7024,1.4397,4
4,1,1031,41.24,1.7556,1.4314,4
4,1,1032,41.28,1.8095,1.4288,4
4,1,1033,41.32,1.8664,1.4291,4
4,1,1034,41.36,1.9232,1.4374,4
4,1,1035,41.4,1.9794,1.4465,4
4,1,1036,41.44,2.0359,1.4534,4
4,1,1037,41.48,2.0915,1.4611,4
4,1,1038,41.52,2.1479,1.4628,4
4,1,1039,41.56,2.2021,1.4652,4
4,1,1040,41.6,2.2553,1.465,4
4,1,1041,41.64,2.3084,1.4611,4
4,1,1042,41.68,2.3627,1.4526,4
4,1,1043,41.72,2.4141,1.4466,4
4,1,1044,41.76,2.4647,1.4394,4
4,1,1045,41.8,2.5132,1.4375,4
4,1,1046,41.84,2.5604,1.4361,4
4,1,1047,41.88,2.6074,1.4388,4
4,1,1048,41.92,2.653,1.4426,4
4,1,1049,41.96,2.6982,1.4486,4
4,1,1050,42.0,2.7434,1.4517,4
4,1,1051,42.04,2.7882,1.454,4
4,1,1052,42.08,2.8309,1.4567,4
4,1,1053,42.12,2.8734,1.455,4
4,1,1054,42.16,2.9157,1.4561,4
4,1,1055,42.2,2.9609,1.4478,4
4,1,1056,42.24,3.0055,1.4394,4
4,1,1057,42.28,3.0524,1.4299,4
4,1,1058,42.32,3.1006,1.4243,4
4,1,1059,42.36,3.1516,1.419,4
4,1,1060,42.4,3.2045,1.4167,4
4,1,1061,42.44,3.2577,1.4216,4
4,1,1062,42.48,3.3096,1.4265,4
4,1,1063,42.52,3.3594,1.4314,4
4,1,1064,42.56,3.4085,1.4339,4
4,1,1065,42.6,3.4562,1.4425,4
4,1,1066,42.64,3.5008,1.4442,4
5,1,1326,53.04,-0.2401,1.5703,6
5,1,1327,53.08,-0.179,1.5732,6
5,1,1328,53.12,-0.1211,1.572,6
5,1,1329,53.16,-0.0637,1.5712,6
5,1,1330,53.2,-0.0105,1.5671,6
5,1,1331,53.24,0.0434,1.561,6
5,1,1332,53.28,0.0957,1.5518,6
5,1,1333,53.32,0.1492,1.5451,6
5,1,1334,53.36,0.1994,1.533,6
5,1,1335,53.4,0.2514,1.5257,6
5,1,1336,53.44,0.3051,1.5196,6
5,1,1337,53.48,0.3591,1.5137,6
5,1,1338,53.52,0.4142,1.5145,6
5,1,1339,53.56,0.4712,1.5096,6
5,1,1340,53.6,0.5296,1.5099,6
5,1,1341,53.64,0.5863,1.5133,6
5,1,1342,53.68,0.6424,1.5183,6
5,1,1343,53.72,0.6945,1.5202,6
5,1,1344,53.76,0.7441,1.5194,6
5,1,1345,53.8,0.7936,1.5161,6
5,1,1346,53.84,0.8417,1.5087,6
5,1,1347,53.88,0.8912,1.4994,6
5,1,1348,53.92,0.9412,1.4908,6
5,1,1349,53.96,0.9935,1.4839,6
5,1,1350,54.0,1.0472,1.4915,6
5,1,1351,54.04,1.1008,1.4968,6
5,1,1352,54.08,1.1546,1.5029,6
5,1,1353,54.12,1.2085,1.5099,6
5,1,1354,54.16,1.2616,1.5148,6
5,1,1355,54.2,1.314,1.518,6
5,1,1356,54.24,1.3645,1.5171,6
5,1,1357,54.28,1.4141,1.5134,6
5,1,1358,54.32,1.4634,1.5064,6
5,1,1359,54.36,1.5125,1.4973,6
5,1,1360,54.4,1.5627,1.4897,6
5,1,1361,54.44,1.6142,1.488,6
5,1,1362,54.48,1.6679,1.4886,6
5,1,1363,54.52,1.725,1.4971,6
5,1,1364,54.56,1.7845,1.4956,6
5,1,1365,54.6,1.8433,1.496,6
5,1,1366,54.64,1.9034,1.496,6
5,1,1367,54.68,1.961,1.4954,6
5,1,1368,54.72,2.0155,1.4966,6
5,1,1369,54.76,2.0665,1.4941,6
5,1,1370,54.8,2.1154,1.4905,6
5,1,1371,54.84,2.1644,1.4864,6
5,1,1372,54.88,2.2137,1.4772,6
5,1,1373,54.92,2.2633,1.468,6
5,1,1374,54.96,2.3151,1.4646,6
5,1,1375,55.0,2.3649,1.4711,6
5,1,1376,55.04,2.4178,1.4875,6
5,1,1377,55.08,2.4702,1.4923,6
5,1,1378,55.12,2.5238,1.5033,6
5,1,1379,55.16,2.577,1.5087,6
5,1,1380,55.2,2.6284,1.513,6
5,1,1381,55.24,2.6798,1.5124,6
5,1,1382,55.28,2.7304,1.5059,6
5,1,1383,55.32,2.7816,1.4974,6
5,1,1384,55.36,2.833,1.4864,6
5,1,1385,55.4,2.8841,1.4826,6
5,1,1386,55.44,2.9363,1.4837,6
5,1,1387,55.48,2.9926,1.481,6
5,1,1388,55.52,3.0508,1.4841,6
5,1,1389,55.56,3.11,1.4871,6
5,1,1390,55.6,3.1677,1.4898,6
5,1,1391,55.64,3.2268,1.4871,6
5,1,1392,55.68,3.2806,1.4891,6
5,1,1393,55.72,3.3306,1.4904,6
5,1,1394,55.76,3.3783,1.4884,6
5,1,1395,55.8,3.4212,1.4814,6
5,1,1396,55.84,3.4614,1.4722,6
5,1,1397,55.88,3.4996,1.4646,6
6,1,1623,64.92,-0.152,1.4598,6
6,1,1624,64.96,-0.1093,1.4635,6
6,1,1625,65.0,-0.0686,1.472,6
6,1,1626,65.04,-0.0309,1.4739,6
6,1,1627,65.08,0.0071,1.4759,6
6,1,1628,65.12,0.0456,1.4766,6
6,1,1629,65.16,0.0815,1.4734,6
6,1,1630,65.2,0.121,1.4681,6
6,1,1631,65.24,0.1611,1.4569,6
6,1,1632,65.28,0.2022,1.4534,6
6,1,1633,65.32,0.2459,1.4516,6
6,1,1634,65.36,0.2918,1.4504,6
6,1,1635,65.4,0.3392,1.4542,6
6,1,1636,65.44,0.3906,1.4619,6
6,1,1637,65.48,0.4417,1.4685,6
6,1,1638,65.52,0.4927,1.4767,6
6,1,1639,65.56,0.5446,1.4842,6
6,1,1640,65.6,0.5952,1.491,6
6,1,1641,65.64,0.6451,1.4932,6
6,1,1642,65.68,0.6942,1.4904,6
6,1,1643,65.72,0.7435,1.4838,6
6,1,1644,65.76,0.7936,1.4767,6
6,1,1645,65.8,0.8442,1.4685,6
6,1,1646,65.84,0.896,1.4621,6
6,1,1647,65.88,0.9495,1.4646,6
6,1,1648,65.92,1.002,1.4756,6
6,1,1649,65.96,1.0559,1.4796,6
6,1,1650,66.0,1.1086,1.4896,6
6,1,1651,66.04,1.1626,1.4949,6
6,1,1652,66.08,1.2152,1.4978,6
6,1,1653,66.12,1.2666,1.4967,6
6,1,1654,66.16,1.3166,1.4929,6
6,1,1655,66.2,1.3656,1.4871,6
6,1,1656,66.24,1.4154,1.4803,6
6,1,1657,66.28,1.466,1.4747,6
6,1,1658,66.32,1.5185,1.4722,6
6,1,1659,66.36,1.5736,1.4717,6
6,1,1660,66.4,1.6296,1.483,6
6,1,1661,66.44,1.6881,1.48,6
6,1,1662,66.48,1.744,1.4861,6
6,1,1663,66.52,1.8,1.4905,6
6,1,1664,66.56,1.8548,1.4952,6
6,1,1665,66.6,1.9103,1.4975,6
6,1,1666,66.64,1.9659,1.5003,6
6,1,1667,66.68,2.0195,1.4938,6
6,1,1668,66.72,2.0729,1.4896,6
6,1,1669,66.76,2.125,1.483,6
6,1,1670,66.8,2.1772,1.4769,6
6,1,1671,66.84,2.2307,1.4706,6
6,1,1672,66.88,2.2837,1.4809,6
6,1,1673,66.92,2.3358,1.4919,6
6,1,1674,66.96,2.3886,1.4978,6
6,1,1675,67.0,2.4415,1.5046,6
6,1,1676,67.04,2.4965,1.5074,6
6,1,1677,67.08,2.5504,1.5068,6
6,1,1678,67.12,2.6041,1.5045,6
6,1,1679,67.16,2.6568,1.5007,6
6,1,1680,67.2,2.7081,1.4928,6
6,1,1681,67.24,2.7589,1.4861,6
6,1,1682,67.28,2.8114,1.4792,6
6,1,1683,67.32,2.866,1.4753,6
6,1,1684,67.36,2.9225,1.4732,6
6,1,1685,67.4,2.9813,1.4765,6
6,1,1686,67.44,3.0402,1.4765,6
6,1,1687,67.48,3.0966,1.4818,6
6,1,1688,67.52,3.149,1.4867,6
6,1,1689,67.56,3.2022,1.4894,6
6,1,1690,67.6,3.2499,1.4894,6
6,1,1691,67.64,3.2956,1.4853,6
6,1,1692,67.68,3.3392,1.4759,6
6,1,1693,67.72,3.38,1.4636,6
6,1,1694,67.76,3.4202,1.4516,6
6,1,1695,67.8,3.4572,1.4403,6
6,1,1696,67.84,3.4928,1.4351,6
7,1,1935,77.4,-0.3185,1.533,8
7,1,1936,77.44,-0.2683,1.5309,8
7,1,1937,77.48,-0.2202,1.5305,8
7,1,1938,77.52,-0.1712,1.5337,8
7,1,1939,77.56,-0.1242,1.5356,8
7,1,1940,77.6,-0.0788,1.5347,8
7,1,1941,77.64,-0.0306,1.5343,8
7,1,1942,77.68,0.0174,1.5314,8
7,1,1943,77.72,0.064,1.5276,8
7,1,1944,77.76,0.1066,1.5159,8
7,1,1945,77.8,0.154,1.5072,8
7,1,1946,77.84,0.2038,1.5003,8
7,1,1947,77.88,0.242,1.4813,8
7,1,1948,77.92,0.2912,1.4793,8
7,1,1949,77.96,0.3426,1.4825,8
7,1,1950,78.0,0.3932,1.4887,8
7,1,1951,78.04,0.4437,1.494,8
7,1,1952,78.08,0.4926,1.4972,8
7,1,1953,78.12,0.5397,1.499,8
7,1,1954,78.16,0.5891,1.5049,8
7,1,1955,78.2,0.6337,1.5033,8
7,1,1956,78.24,0.68,1.5034,8
7,1,1957,78.28,0.7256,1.4993,8
7,1,1958,78.32,0.7729,1.494,8
7,1,1959,78.36,0.8198,1.4843,8
7,1,1960,78.4,0.8693,1.4776,8
7,1,1961,78.44,0.9183,1.4708,8
7,1,1962,78.48,0.9687,1.4704,8
7,1,1963,78.52,1.0191,1.474,8
7,1,1964,78.56,1.0724,1.4831,8
7,1,1965,78.6,1.1226,1.4893,8
7,1,1966,78.64,1.1774,1.5008,8
7,1,1967,78.68,1.2299,1.5079,8
7,1,1968,78.72,1.2812,1.5086,8
7,1,1969,78.76,1.3318,1.508,8
7,1,1970,78.8,1.384,1.5067,8
7,1,1971,78.84,1.4333,1.5008,8
7,1,1972,78.88,1.4891,1.5003,8
7,1,1973,78.92,1.5403,1.4921,8
7,1,1974,78.96,1.5929,1.4841,8
7,1,1975,79.0,1.6473,1.4804,8
7,1,1976,79.04,1.7023,1.4828,8
7,1,1977,79.08,1.7553,1.4884,8
7,1,1978,79.12,1.8072,1.4927,8
7,1,1979,79.16,1.8599,1.5,8
7,1,1980,79.2,1.9096,1.505,8
7,1,1981,79.24,1.9586,1.508,8
7,1,1982,79.28,2.0077,1.5096,8
7,1,1983,79.32,2.0567,1.5091,8
7,1,1984,79.36,2.1037,1.5049,8
7,1,1985,79.4,2.1543,1.4996,8
7,1,1986,79.44,2.2047,1.493,8
7,1,1987,79.48,2.2553,1.4841,8
7,1,1988,79.52,2.3053,1.4764,8
7,1,1989,79.56,2.3564,1.4727,8
7,1,1990,79.6,2.4104,1.4764,8
7,1,1991,79.64,2.4612,1.4777,8
7,1,1992,79.68,2.5152,1.4841,8
7,1,1993,79.72,2.5682,1.4886,8
7,1,1994,79.76,2.6244,1.4966,8
7,1,1995,79.8,2.6769,1.4996,8
7,1,1996,79.84,2.7281,1.5001,8
7,1,1997,79.88,2.7788,1.4968,8
7,1,1998,79.92,2.8299,1.4917,8
7,1,1999,79.96,2.8822,1.4848,8
7,1,2000,80.0,2.9321,1.4714,8
7,1,2001,80.04,2.9842,1.4611,8
7,1,2002,80.08,3.0374,1.4545,8
7,1,2003,80.12,3.0916,1.4537,8
7,1,2004,80.16,3.1437,1.4563,8
7,1,2005,80.2,3.1958,1.4594,8
7,1,2006,80.24,3.2447,1.4599,8
7,1,2007,80.28,3.292,1.4681,8
7,1,2008,80.32,3.3364,1.4722,8
7,1,2009,80.36,3.3792,1.4716,8
7,1,2010,80.4,3.422,1.4689,8
7,1,2011,80.44,3.4637,1.4647,8
7,1,2012,80.48,3.5053,1.462,8
8,1,2256,90.24,-0.2027,1.4363,8
8,1,2257,90.28,-0.1641,1.4434,8
8,1,2258,90.32,-0.1246,1.451,8
8,1,2259,90.36,-0.0859,1.4574,8
8,1,2260,90.4,-0.0469,1.4625,8
8,1,2261,90.44,-0.0072,1.465,8
8,1,2262,90.48,0.0329,1.465,8
8,1,2263,90.52,0.0734,1.4624,8
8,1,2264,90.56,0.1151,1.4578,8
8,1,2265,90.6,0.157,1.4512,8
8,1,2266,90.64,0.2002,1.4439,8
8,1,2267,90.68,0.2446,1.4389,8
8,1,2268,90.72,0.2912,1.4388,8
8,1,2269,90.76,0.3396,1.445,8
8,1,2270,90.8,0.3891,1.4532,8
8,1,2271,90.84,0.4382,1.4585,8
8,1,2272,90.88,0.4868,1.4631,8
8,1,2273,90.92,0.5353,1.4676,8
8,1,2274,90.96,0.5841,1.4717,8
8,1,2275,91.0,0.6327,1.4728,8
8,1,2276,91.04,0.6825,1.4729,8
8,1,2277,91.08,0.7323,1.4696,8
8,1,2278,91.12,0.7827,1.4632,8
8,1,2279,91.16,0.8343,1.4553,8
